"","lon","lat"
"918",-102.966667,21.633333
"919",-104.900002,21.5
"920",-103.099998,21.483334
"921",-103.116669,21.416668
"922",-103.166664,21.266666
"923",-102.300003,21.25
"924",-86.731049,21.231142
"925",-86.891846,21.139277
"926",-87.050003,20.86389
"927",-86.974442,20.755278
"928",-103.400002,20.716667
"929",-103.316666,20.716667
"930",-103.272842,20.682484
"931",-103.066666,20.633333
"933",-103.23333,20.616667
"934",-86.945831,20.508329
"935",-103.433334,20.466667
"936",-89.533333,20.4
"937",-104.5,20.333332
"938",-87.51785,20.252824
"939",-103.533333,20.016666
"940",-105.25,19.933332
"941",-88.76667,19.700001
"942",-96.666672,19.33333
"943",-96.70417,19.308332
"944",-104.565125,19.236605
"945",-103.716667,19.233334
"946",-88.51667,18.795834
"947",-88.050003,19.583332
"949",-108.9399,27.0279
"950",-110.9444,31.3076
"951",-104.287509,19.343462
"952",-103.3624,20.6662
"954",-97.936078,22.402616
"955",-98.350403,21.015238
"956",-98.60709,21.171135
"957",-94.433905,18.151468
"958",-97.681307,20.210591
"959",-101.262215,21.02153
"960",-101.426754,20.952049
"962",-110.666672,29.33333
"963",-98.283333,26.083332
"964",-109.899162,22.915649
"965",-103.667,20.333
"966",-102.066666,19.416668
"967",-97.152336,18.264273
"968",-99.917,16.85
"969",-86.0946,11.9681
"970",-87.15,12.61
"971",-85.9596,11.9288
"972",-85.935516,11.434263
"973",-86.877912,12.433622
"974",-86.284354,12.157192
"981",-85.9175,12.9219
"985",-86,13.1
"993",-85.886849,11.43
"996",-86.245,12.148
"998",-86.125445,13.922238
"999",-86.13,13.71
"1000",-86.030345,13.564483
"1001",-85.818558,13.61796
"1009",-86.5117,11.7821
"1010",-86.46,11.847
"1011",-86.0233,12.3139
"1012",-86.24139,11.854462
"1015",-86.349998,13.083333
"1016",-86.099998,11.966667
"1018",-86.268333,12.150833
"1020",-85.440702,10.629228
"1021",-83.076325,9.960735
"1022",-84.830986,9.986213
"1026",-85.577449,10.262328
"1035",-83.164322,8.639025
"1036",-85.148177,9.626645
"1040",-84.83,9.9657
"1043",-84.233923,9.800414
"1044",-84.152756,9.431451
"1045",-84.530354,9.942639
"1046",-85.79165,10.400365
"1047",-85.45588,10.154943
"1048",-85.526122,10.282808
"1049",-85.841346,10.299804
"1050",-85.806552,10.28
"1052",-85.583167,10.266867
"1053",-84.333336,9.55
"1054",-84.3243,9.5123
"1055",-84.033333,9.73333
"1056",-60.96,14.73
"1057",-61.003575,14.6237
"1062",-61.134725,14.773638
"1063",-61.119204,14.863727
"1064",-61.11,14.86
"1065",-60.930548,14.525929
"1066",-60.906022,14.486583
"1067",-61.03691,14.672259
"1068",-61.100836,14.620461
"1070",-61.074,14.604
"1071",-61.116669,14.81667
"1072",-60.94228,14.67751
"1073",-23.166668,15.25
"1074",-23.661993,15.076115
"1075",-24.41667,14.91667
"1076",-24.716667,14.866667
"1077",-24.70562,14.839939
"1078",-24.376144,14.90763
"1079",-23.160782,15.199386
"1080",-23.620663,15.083395
"1081",-23.512173,14.930189
"1082",-24.49851,14.89635
"1083",-62.167144,16.69888
"1084",-64.8347,17.7245
"1085",-64.968077,18.344514
"1086",-64.936531,18.353291
"1087",-64.728096,18.336811
"1088",-64.737709,18.327579
"1089",-64.747948,17.73563
"1090",-89.187727,13.958724
"1093",-89.282169,13.683684
"1094",-88.784615,13.641916
"1095",-89.213986,13.7029
"1096",-89.293715,14.126245
"1097",-89.738137,13.719141
"1098",-89.714148,13.735508
"1099",-89.147831,13.702131
"1100",-89.025764,13.934315
"1101",-89.186568,13.736
"1103",-89.555111,13.995372
"1104",-87.838608,13.783611
"1105",-88.187957,17.498126
"1106",-88.746364,17.157316
"1107",-88.711646,17.275703
"1108",-88.889869,17.223938
"1109",-88.799157,17.265007
"1110",-88.937209,17.212543
"1111",-88.834791,17.333925
"1113",-88.842261,16.205645
"1114",-59.61,13.1
"1117",-69.789988,18.810016
"1118",-68.45,18.71
"1119",-69.331899,19.211481
"1120",-69.9878,18.4965
"1121",-69.820955,18.51054
"1122",-69.9427,18.4845
"1123",-70.110908,18.422306
"1124",-69.909,18.532
"1125",-69.8742,18.4887
"1126",-70.366,18.25
"1127",-70.42,18.24
"1128",-69.849998,18.533333
"1129",-71.416664,18.366667
"1130",-71.599998,18.083332
"1131",-70.4094,18.9421
"1133",-70.75,19.75
"1134",-70.900002,19.549999
"1135",-70.783333,19.533333
"1136",-70.599998,19.5
"1137",-70.449997,19.5
"1138",-70.916672,19.41667
"1139",-70.699997,19.450001
"1140",-70.633331,19.450001
"1142",-70.415672,18.94989
"1143",-70.581007,19.434947
"1144",-70.329262,18.280229
"1146",-70.508774,18.54882
"1147",-70.199997,18.549999
"1148",-69.982924,18.42886
"1149",-61.006579,13.994289
"1150",-65.66,18.329
"1151",-65.7353,18.2136
"1152",-65.828,18.154
"1153",-65.8794,18.0506
"1154",-66.112,18.355
"1156",-66.493,18.13
"1164",-66.727,18.475
"1165",-66.158,18.388
"1167",-66.614,18.017
"1172",-66.043053,18.235221
"1173",-65.975075,18.142589
"1174",-66.0575,18.391
"1175",-67.2526,18.3409
"1177",-66.8448,18.4837
"1178",-66.827,18.49
"1179",-66.07,18.453
"1180",-66.251,18.303
"1181",-66.703,18.272
"1182",-67.14,18.208
"1183",-66.3063,18.1866
"1185",-67.1456,18.0866
"1187",-65.963,18.383
"1189",-66.616,18.019
"1190",-66.113505,18.177087
"1191",-65.899115,18.375053
"1192",-66.254439,18.442973
"1193",-65.957165,18.380266
"1196",-66.317353,18.341328
